user_name,text,hashtags,mentions
covert_Love3,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
br_green_heart,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
Bobbio65M,RT @RussianEmbassy: President #Putin: Those who plotted a new attack against #Donetsk and #Lugansk in #Donbass region understood that #Crim…,"['Putin', 'Donetsk', 'Lugansk', 'Donbass']",['RussianEmbassy']
RoyaleVision,"RT @BHL: Thanks, Minister #Reznikov. Humbled by your words. You embody the resistance of #Ukraine against #Putin’s fascism. This film is yo…","['Reznikov', 'Ukraine', 'Putin']",['BHL']
Resistoexisto1,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
NTDNews,US State Department Official Condemns #Putin's Suspending Russia's Participation in START Treaty… https://t.co/d7uAlF0YOF,['Putin'],[]
A_Rockas,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
mytouchrecords,RT @EmbassyofRussia: President #Putin: West seeks unlimited power. It spent over $150 billion on helping &amp; arming Kiev regime. According to…,['Putin'],['EmbassyofRussia']
10WallStreet,RT @10WallStreet: #Bakhmut is a Kill Box #Putin Set Up for #AzovNazis. He Doesn't Want to Fight in #Kiev Better To Do It in Bombed Out Citi…,"['Bakhmut', 'Putin', 'AzovNazis', 'Kiev']",['10WallStreet']
dnickl2020,"RT @EandPCartoons: Chris Riddell, The Guardian #Putin https://t.co/9xgnT4U3M2",['Putin'],['EandPCartoons']
10WallStreet,#Bakhmut is a Kill Box #Putin Set Up for #AzovNazis. He Doesn't Want to Fight in #Kiev Better To Do It in Bombed Ou… https://t.co/r0xw2UVyzQ,"['Bakhmut', 'Putin', 'AzovNazis', 'Kiev']",[]
casanor11,"RT @WarFrontline: 🚨#Breaking, The first battalion of the Armed Forces of Ukraine has completed training on the operation of American M2 Bra…",['Breaking'],['WarFrontline']
ChiccaBis,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
Syricide,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
hvroth,RT @EmbassyofRussia: 🇷🇺President #Putin: US &amp; NATO quickly deployed their army bases &amp; secret biolaboratories near Russian borders. They ma…,['Putin'],['EmbassyofRussia']
ntabe_tseliso,"RT @azexl2: Time to listen to #lucasCage an #Iraq war #US veteran, again, while 100s of #Ukrainian troops are slaughtered by #RussianArmy i…","['lucasCage', 'Iraq', 'US', 'Ukrainian', 'RussianArmy']",['azexl2']
Ejikech11438647,RT @ChinasaNworu: President #Putin: West’s appalling method of deception has been tried and tested many times before. They behaved just as…,['Putin'],['ChinasaNworu']
Jonbassett6,"RT @Beefeater_Fella: For a country 100 times larger that Ukraine, this is a pathetic show by any account. Russia have fallen from #SuperPow…",[],['Beefeater_Fella']
Nassssaaaaa,RT @Nassssaaaaa: Soooo I did something…… @veve_official @MrFF1_eth @DrProfit0 @zainhussain_17 @veve_official @MrPags_eth @0BronnyJames @eco…,[],"['Nassssaaaaa', 'veve_official', 'MrFF1_eth', 'DrProfit0', 'zainhussain_17', 'veve_official', 'MrPags_eth', '0BronnyJames']"
Rootster2,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
krooonando,RT @raging545: VIDEO of a Ukrainian drone dropping a well timed grenade onto Russian troops that had apparently been hit before. #Ukraine #…,['Ukraine'],['raging545']
Lnewman16Lee,"RT @SojournerNow: @buddy_dek @politicususa no say he is, and it is not a suggestion..it is a fact.  @SpeakerMcCarthy  gave in to #Putin so…",['Putin'],"['SojournerNow', 'buddy_dek', 'politicususa', 'SpeakerMcCarthy']"
CSPGross,"RT @AndersonAfDMdEP: 🇬🇧|New #EU #sanctions against #Russia fail because of #Poland. It's about #import of rubber, where an exemption rule a…","['EU', 'sanctions', 'Russia', 'Poland', 'import']",['AndersonAfDMdEP']
Thseldo4me,"As someone who has lived and worked in Russia, your point is insane. Do you think the capture of Crimea and two oth… https://t.co/O4mgMd0Sx3",[],[]
EightBitRomania,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
JimHagart,"RT @ArthurM40330824: #Putin on his reasons for exiting START
Basically if US/NATO is acting as our enemy and indirectly involved in a war a…",['Putin'],['ArthurM40330824']
Medhin_21,"RT @TewoldeGali: Our civilized world had mistaken, when it reelected @AUC_MoussaFaki and @antonioguterres as #AU and #UN leaders respective…","['AU', 'UN']","['TewoldeGali', 'AUC_MoussaFaki', 'antonioguterres']"
BCP72,Pay attention. #Russia #Putin #Ukraine #UkraineRussiaWar #GOP https://t.co/aiIE4LM2PC,"['Russia', 'Putin', 'Ukraine', 'UkraineRussiaWar', 'GOP']",[]
ehv_stefan,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
fiorifan,RT @WinRussiawill: China joining Russia in the conflict in Ukraine is guaranteed a loss for NATO.  NATO warmongers are running around like…,[],['WinRussiawill']
pau1_h3,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
SpaceSlav_V,"RT @EmbassyofRussia: 🇷🇺President Vladimir #Putin: According to US experts, almost 900,000 people were killed during wars unleashed by the U…",['Putin'],['EmbassyofRussia']
PjSheridan7,"RT @WarFrontline: 🚨#Breaking, The first battalion of the Armed Forces of Ukraine has completed training on the operation of American M2 Bra…",['Breaking'],['WarFrontline']
elmalambo,"RT @EmbassyofRussia: 🇷🇺President Vladimir #Putin: According to US experts, almost 900,000 people were killed during wars unleashed by the U…",['Putin'],['EmbassyofRussia']
Archaeodig,"RT @CupofJoeintheD2: Hey #GOP, the World wants to charge #Putin &amp; #Russia with War Crimes yet You continue to Worship them, Why Why Why??!!!","['GOP', 'Putin', 'Russia']",['CupofJoeintheD2']
DOXIK00,"RT @robananyan: Today, Sergey Lavrov visited #Russia's faithful ally #Azerbaijan. #Putin really supported #Aliyev in arming the army and wi…","['Russia', 'Azerbaijan', 'Putin', 'Aliyev']",['robananyan']
Benzyne,"🔴🔥🔥🇷🇺 Combat work of heavy flamethrower systems TOS-1A ""Solntsepek"" in the SMO zone🔥

#RussianArmy #Putin #Ukraine… https://t.co/NbT2Pkc3a0","['RussianArmy', 'Putin', 'Ukraine']",[]
ebcola,RT @kiraincongress: russia’s suspension of the #nuclear pact is just another proof: #putin would does not need a reason to pull of a deal h…,"['nuclear', 'putin']",['kiraincongress']
SmartXCookie,When Hillary Clinton and Lindsey Graham are both pleading for the assassination of #Putin it’s not to save us from… https://t.co/R5y4Jr3RqW,['Putin'],[]
HUMANBEINGONE,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
Mimi18272364,"@mlauriat Betcha #Putin wont give these American #Traitors permanent residency in #Russia, nor will he allow them t… https://t.co/uYa5u7FImq","['Putin', 'Traitors', 'Russia']",['mlauriat']
